Question,Answer,Link
"the institution of higher education that i attended only issues summary transcripts (mark sheets), but sjsu requires term-by-term transcripts. what should i do?","Since GAPE requires that all international applicants provide a WES (World Education Services) evaluation for any educational work taken outside of the U.S. & Canada, WES will submit the evaluation to SJSU in a format that is accepted by the university. Mark sheets/transcripts/degree certificates must be sent directly to WES for evaluation. SJSU must receive the academic record and the evaluation directly from WES",
do i need to be prequalified before i can apply for the program?,"No, but we strongly suggest you submit a pre-qualification form",
how much does it cost to apply to sjsu?,"Payment of the CSU Application Fee of $55 will be accepted by electronic check, PayPal, credit or debit card. The payment must be made in order to submit your Cal State Apply university application",
i missed the application (or document) deadline for the upcoming cohort. is there a way for me to take classes now and apply for the next admission term later?,"You may be able to take classes as Open University (OU) if you satisfy the course prerequisites. At most, nine units of OU courses can be transferred to this program if you are admitted in the future. However, taking and passing OU classes will not guarantee your admission to the program. You must contact the designated Program Specialist for the degree program in which you are interested and inquire about taking OU classes",
"i was admitted for fall semester, but am unable to attend. can i defer my admission?",No. Enrollment in the semester that a student is admitted to is required for an applicant to be considered a matriculated student. Applicants may not defer admission to a later semester and will have to re-apply to the University,
i'm not sure of the conversion of my international bachelor's degree program percentage to gpa. what do i put in the gpa field on the cal state apply application?,"When completing the Cal State Apply application, if you are unsure how to calculate GPA conversion to the 4.0 scale system used in the U.S., enter the place holder of ""3.0"" until GAPE receives the hard copies of your transcript and can make the evaluation. See the above questions regarding document submission for international/non-U.S. resident applicants",
does my bachelor's degree from a non-us institution qualify me for a graduate program at sjsu?,"A student's bachelor's degree must be from an accredited four-year institution, and/or a program that is confirmed to be the equivalent of a U.S. bachelor's degree.",
can i transfer credits from other institutions or programs?,"You can only transfer the exact courses required by the program. If you have questions about course substitutions, you should contact the Academic Program Coordinator for the program ASAP to discuss the petition process for a course exemption. Students can transfer up to 9 units only",
i was recently admitted to an on-campus program or my application was withdrawn. can i transfer my application to an off-campus program?,Please contact the Graduate Admissions and Program Evaluations office. Applications are only transferable to off-campus programs during the same admission term for which you originally applied,
"i was admitted to an off-campus program, and i am thinking about transferring to an on-campus program at sjsu. can i transfer the courses i have taken so far to the on-campus program?","If you want to apply to an on-campus program you must do so via Cal State Apply in a subsequent application cycle. If you are accepted to an on-campus program after taking courses for your off-campus program, the on-campus program will determine if your units earned off-campus are transferable",
